,Label,Model,Year,HP,Min cost,Max cost
573,GMC,Sierra 1500,2021,277,30.1,59.6
574,Volvo,S40,2008,168,4.29,8.736
575,Cadillac,DTS,2009,275,5.689,6.654
576,Honda,Civic,2007,113,2.937,7.43
577,Volvo,S40,2009,168,5.974,7.021
578,Volvo,S80,2013,240,12.14,15.232
579,Chrysler,PT Cruiser,2008,150,3.159,3.355
580,Volvo,S60,2020,250,36.077,59.959
581,Dodge,Dakota,2010,210,8.16,12.096
582,Chevrolet,Colorado,2021,181,28.719,48.713
583,Volvo,S80,2016,240,19.567,21.785
584,Audi,A5,2019,248,37.839,73.584
585,Volvo,S40,2007,168,4.533,7.939
586,BMW,4-Series,2020,248,41.25,94.873
587,GMC,Sierra 1500,2020,277,33.083,64.041
588,Ford,Escape,2021,181,25.555,36.455
589,Acura,RDX,2019,272,34.422,40.596
590,Volvo,S40,2008,168,4.29,8.736
591,Buick,LaCrosse,2017,310,22.03,29.622
592,Cadillac,DTS,2008,275,3.96,5.112
593,Chrysler,PT Cruiser,2007,150,3.152,5.433
594,Chevrolet,Colorado,2020,181,25.298,48.972
595,Honda,Civic Hybrid,2015,110,15.075,15.947
596,Volvo,S80,2012,240,9.784,18.955
597,Volvo,S60,2019,250,32.329,45.676
598,Volvo,S40,2007,168,4.533,7.939
599,Dodge,Dakota,2009,210,7.251,12.473
600,Volvo,S80,2015,240,16.808,27.42
601,Buick,LaCrosse,2016,182,18.03,23.302
602,GMC,Sierra 1500,2019,277,34.091,58.968
603,Ford,Escape,2020,181,25.114,35.259
604,Chrysler,Sebring,2010,173,5.146,6.538
605,BMW,4-Series,2019,248,35.712,77.393
606,Audi,A5,2018,252,34.316,51.664
607,Acura,RDX,2018,279,27.809,32.104
608,Cadillac,DTS,2007,275,3.943,4.387
609,Honda,Civic Hybrid,2014,110,13.662,14.455
610,Volvo,S80,2011,240,7.951,8.766
611,Dodge,Dakota,2008,210,5.037,11.577
612,Chevrolet,Colorado,2019,181,23.5,45.123
613,Volvo,S60,2018,240,24.745,45.333
614,BMW,4-Series,2018,248,31.307,63.587
615,Ford,Escape,2019,168,22.272,29.848
616,Volvo,S80,2014,240,14.931,18.694
617,Buick,LaCrosse,2015,182,16.662,20.572
618,Audi,A5,2017,220,29.989,41.884
619,Chrysler,Sebring,2009,173,4.379,8.783
620,Honda,Civic Hybrid,2013,110,10.947,13.42
621,GMC,Sierra 1500,2018,285,26.364,50.007
622,Cadillac,ELR,2016,233,32.307,32.307
623,Volvo,S80,2010,235,7.12,11.977
624,Acura,RDX,2017,279,25.315,29.111
625,Dodge,Dakota,2007,210,4.876,9.057
626,Volvo,S60,2017,240,22.319,40.358
627,BMW,4-Series,2017,248,27.242,55.057
628,Ford,Escape,2018,168,19.831,26.38
629,Chevrolet,Colorado,2018,181,20.891,41.185
630,Volvo,S80,2013,240,12.14,15.232
631,Volvo,S80,2009,235,7.311,9.946
632,Cadillac,ELR,2014,84,20.365,20.365
633,Audi,A5,2016,220,24.177,36.774
634,Honda,Civic Hybrid,2012,110,9.264,9.847
635,Buick,LaCrosse,2014,182,15.373,18.588
636,Dodge,Dart,2016,160,12.525,16.113
637,Acura,RDX,2016,279,22.794,26.384
638,Chrysler,Sebring,2008,173,3.566,4.783
639,BMW,4-Series,2016,240,26.271,48.138
640,Volvo,S60,2016,240,17.64,33.232
641,Volvo,S80,2012,240,9.784,18.955
642,Volvo,S60,2021,250,38.95,64.8
643,Chevrolet,Colorado,2017,181,19.699,38.208
644,Ford,Escape,2017,168,18.919,23.715
645,GMC,Sierra 1500,2017,285,24.868,47.623
646,Honda,Civic Hybrid,2011,110,7.965,8.598
647,Volvo,S80,2008,235,5.316,7.192
648,Audi,A5,2015,220,22.255,43.463
649,Volvo,S60,2021,250,38.95,64.8
650,Buick,LaCrosse,2013,182,11.858,14.537
651,Acura,RDX,2015,273,20.041,21.983
652,Dodge,Dart,2015,160,11.038,13.513
653,Volvo,S60,2015,240,15.161,23.433
654,Chevrolet,Colorado,2016,181,18.782,32.369
655,BMW,4-Series,2015,240,21.229,40.209
656,Chrysler,Town & Country,2016,283,19.263,24.345
657,Volvo,S80,2011,240,7.951,8.766
658,GMC,Sierra 1500,2016,285,22.954,44.137
659,Volvo,S60,2020,250,36.077,59.959
660,Volvo,S60,2020,250,36.077,59.959
661,Volvo,S80,2007,235,4.437,4.7
662,Ford,Escape,2016,168,16.545,20.683
663,Audi,A5,2014,220,17.614,35.449
664,Buick,LaCrosse,2012,182,9.631,11.657
665,Honda,Civic Hybrid,2010,110,6.168,7.068
666,Acura,RDX,2014,273,17.969,19.799
667,Dodge,Dart,2014,160,9.338,11.616
668,Volvo,S80,2010,235,7.12,11.977
669,BMW,4-Series,2014,240,18.901,26.097
670,Volvo,S60,2014,250,13.611,21.304
671,Chevrolet,Colorado,2015,200,17.635,28.84
672,Chrysler,Town & Country,2015,283,16.78,21.176
673,Volvo,S60,2019,250,32.329,45.676
674,Buick,LaCrosse,2011,182,8.794,10.264
675,Ford,Escape,2015,168,14.751,18.312
676,GMC,Sierra 1500,2015,285,20.745,39.284
677,Volvo,S60,2019,250,32.329,45.676
678,Audi,A5,2013,211,15.778,30.996
679,Honda,Civic Hybrid,2009,110,6.624,7.671
680,Acura,RDX,2013,273,15.336,16.543
681,Cadillac,Escalade,2021,277,76.195,106.595
682,Volvo,S80,2009,235,7.311,9.946
683,Chrysler,Town & Country,2014,283,13.549,17.331
684,Dodge,Dart,2013,160,7.844,10.049
685,Volvo,S60,2013,250,10.571,15.494
686,Chevrolet,Colorado,2012,185,8.336,18.127
687,Buick,LaCrosse,2010,252,8.089,9.372
688,Volvo,S60,2018,240,24.745,45.333
689,Honda,Civic Hybrid,2008,93,5.168,5.595
690,Audi,A5,2012,211,12.384,15.546
691,Acura,RDX,2012,240,12.102,13.35
692,GMC,Sierra 1500,2014,285,19.199,36.607
693,Volvo,S60,2018,240,24.745,45.333
694,Volvo,S60,2012,250,8.816,13.352
695,Cadillac,Escalade,2020,420,71.527,90.087
696,Ford,Escape,2014,168,13.326,16.259
697,Buick,LaCrosse,2009,200,5.095,6.345
698,Volvo,S80,2008,235,5.316,7.192
699,Chrysler,Town & Country,2013,283,11.675,13.963
700,Honda,Civic Hybrid,2007,93,4.496,4.995
701,Volvo,S60,2017,240,22.319,40.358
702,Chevrolet,Colorado,2011,185,7.705,20.76
703,Audi,A5,2011,211,10.596,12.549
704,Acura,RDX,2011,240,9.48,10.264
705,Volvo,S90,2021,313,51.55,60.05
706,Volvo,S60,2011,300,9.331,9.438
707,GMC,Sierra 1500,2013,195,14.835,28.148
708,Volvo,S60,2017,240,22.319,40.358
709,Volvo,S80,2007,235,4.437,4.7
710,Cadillac,Escalade,2019,420,62.845,79.468
711,BMW,5-Series,2021,181,54.2,103.5
712,Chevrolet,Colorado,2010,185,7.203,14.24
713,Buick,LaCrosse,2008,200,5.396,5.921
714,Chrysler,Town & Country,2012,283,9.401,11.376
715,Volvo,S60,2016,240,17.64,33.232
716,Ford,Escape,2013,168,10.746,13.621
717,Audi,A5,2010,211,8.761,11.465
718,Acura,RDX,2010,240,9.329,10.286
719,Volvo,S90,2020,313,43.346,62.38
720,GMC,Sierra 1500,2012,195,13.254,23.459
721,Volvo,S60,2009,208,6.712,7.449
722,Volvo,S60,2016,240,17.64,33.232
723,BMW,5-Series,2020,184,47.132,112.177
724,Buick,LaCrosse,2007,200,4.885,5.174
725,Chevrolet,Colorado,2009,185,7.021,15.653
726,Volvo,S60,2015,240,15.161,23.433
727,Cadillac,Escalade,2018,420,57.538,73.171
728,Audi,A5,2009,265,8.659,8.761
729,Chrysler,Town & Country,2011,283,7.957,9.311
730,Volvo,S90,2019,250,37.158,52.288
731,Acura,RDX,2009,240,8.29,8.464
732,Honda,Clarity,2021,103,33.4,36.6
733,Volvo,S60,2008,208,6.079,11.501
734,GMC,Sierra 1500,2011,195,11.558,22.598
735,Volvo,S60,2015,240,15.161,23.433
736,Buick,Lucerne,2011,227,7.624,10.766
737,Ford,Escape,2012,171,8.809,9.927
738,Dodge,Durango,2021,293,33.377,80.995
739,Volvo,S60,2014,250,13.611,21.304
740,Chevrolet,Colorado,2008,185,5.546,12.203
741,BMW,5-Series,2019,248,40.887,87.903
742,Audi,A5,2008,265,9.4,9.4
743,Cadillac,Escalade,2017,420,51.567,64.164
744,Volvo,S60,2007,208,4.637,10.738
745,Chrysler,Town & Country,2010,175,6.307,9.661
746,Acura,RDX,2008,240,7.772,8.145
747,Volvo,S90,2018,250,31.7,44.808
748,Buick,Lucerne,2010,219,7.116,9.196
749,Volvo,S60,2014,250,13.611,21.304
750,Honda,Clarity,2020,103,30.818,58.355
751,Volvo,S60,2013,250,10.571,15.494
752,Dodge,Durango,2020,293,34.544,69.733
753,GMC,Sierra 1500,2010,195,10.487,18.288
754,Chevrolet,Colorado,2007,185,4.669,7.901
755,Volvo,S90,2021,313,51.55,60.05
756,Ford,Escape,2011,171,6.591,7.94
757,Cadillac,Escalade,2016,420,45.28,54.866
758,BMW,5-Series,2018,248,37.198,52.478
759,Chrysler,Town & Country,2009,170,5.543,5.715
760,Buick,Lucerne,2009,219,5.875,6.817
761,Volvo,S90,2017,250,27.562,32.672
762,Volvo,S60,2013,250,10.571,15.494
763,Acura,RDX,2007,240,6.21,6.442
764,Volvo,S60,2012,250,8.816,13.352
765,Honda,Clarity,2019,161,28.117,30.921
766,Volvo,S90,2020,313,43.346,62.38
767,GMC,Sierra 1500,2009,195,8.53,18.83
768,BMW,5-Series,2017,248,30.394,37.358
769,Dodge,Durango,2019,293,32.631,64.045
770,Cadillac,Escalade,2015,420,39.008,48.266
771,Buick,Lucerne,2008,197,5.047,5.633
772,Volvo,S60,2012,250,8.816,13.352
773,Acura,RL,2012,300,14.157,14.749
774,Chrysler,Town & Country,2008,170,4.155,4.437
775,Ford,Escape,2010,171,6.52,7.746
776,Volvo,S60,2011,300,9.331,9.438
777,Volvo,S80,2016,240,19.567,21.785
778,Volvo,S90,2019,250,37.158,52.288
779,GMC,Sierra 1500,2008,195,7.637,13.211
780,BMW,5-Series,2016,240,25.364,54.073
781,Honda,Clarity,2018,212,24.283,26.049
782,Dodge,Durango,2018,293,31.888,58.23
783,Cadillac,Escalade,2014,403,28.049,35.155
784,Audi,A6,2021,248,54.9,74.4
785,Buick,Lucerne,2007,197,4.781,5.931
786,Volvo,S60,2009,208,6.712,7.449
787,Volvo,S60,2011,300,9.331,9.438
788,Acura,RL,2011,300,11.531,15.736
789,Volvo,S80,2015,240,16.808,27.42
790,Chrysler,Town & Country,2007,170,3.616,4.489
791,Ford,Escape,2009,171,5.162,6.47
792,Volvo,V50,2011,227,7.933,13.439
793,BMW,5-Series,2015,240,21.328,49.326
794,Volvo,S90,2018,250,31.7,44.808
795,Chevrolet,Corvette,2021,490,59.9,78.85
796,GMC,Sierra 1500,2007,195,5.943,13.962
797,Volvo,S60,2009,208,6.712,7.449
798,Cadillac,Escalade,2013,332,24.011,30.284
799,Volvo,S60,2008,208,6.079,11.501
800,Audi,A6,2020,248,48.372,76.089
801,Acura,RL,2010,300,8.773,11.012
802,Dodge,Durango,2017,293,24.792,38.472
803,Ford,Escape,2008,153,4.916,5.092
804,Chrysler,Voyager,2021,287,28.16,30.87
805,Volvo,S80,2014,240,14.931,18.694
806,Volvo,V50,2010,168,6.677,9.334
807,Volvo,S60,2008,208,6.079,11.501
808,BMW,5-Series,2014,240,17.429,39.945
809,Volvo,S90,2017,250,27.562,32.672
810,Cadillac,Escalade,2012,403,18.102,38.594
811,GMC,Sierra 1500 Hybrid,2013,332,24.24,28.54
812,Volvo,S60,2007,208,4.637,10.738
813,Acura,RL,2009,300,8.05,12.152
814,Buick,Regal,2020,250,22.776,36.923
815,Audi,A6,2019,335,49.614,54.678
816,Chevrolet,Corvette,2020,490,86.967,116.06
817,Chrysler,Voyager,2020,287,29.556,31.222
818,Volvo,S80,2013,240,12.14,15.232
819,BMW,5-Series,2013,245,14.339,20.225
820,Dodge,Durango,2016,290,25.496,35.29
821,Volvo,V50,2009,168,6.531,7.726
822,Volvo,S60,2007,208,4.637,10.738
823,Cadillac,Escalade,2011,403,16.397,20.958
824,Acura,RL,2008,290,7.297,12.21
825,GMC,Sierra 1500 Hybrid,2012,332,18.648,24.772
826,Audi,A6,2018,252,33.137,54.381
827,Volvo,S80,2012,240,9.784,18.955
828,Buick,Regal,2019,250,21.162,33.398
829,Volvo,C30,2013,227,11.945,16.953
830,Chevrolet,Corvette,2019,455,60.458,159.346
831,BMW,5-Series,2012,240,11.241,15.187
832,Dodge,Durango,2015,290,22.488,31.079
833,Volvo,V50,2008,168,6.045,11.052
834,Acura,RL,2007,290,5.668,8.115
835,Cadillac,Escalade,2010,403,14.455,31.711
836,Volvo,S80,2011,240,7.951,8.766
837,Volvo,C30,2012,227,10.712,14.574
838,Volvo,V50,2011,227,7.933,13.439
839,Honda,CR-V,2021,190,30.103,38.51
840,Volvo,S80,2016,240,19.567,21.785
841,Chevrolet,Corvette,2018,455,54.436,80.897
842,Buick,Regal,2018,250,18.786,31.252
843,BMW,5-Series,2011,240,10.162,14.487
844,GMC,Sierra 1500 Hybrid,2011,332,22.289,27.606
845,Audi,A6,2017,252,27.943,46.833
846,Dodge,Durango,2014,290,18.786,25.923
847,Volvo,V50,2007,168,4.695,9.257
848,Acura,RLX,2020,310,44.751,49.971
849,Volvo,S80,2016,240,19.567,21.785
850,Cadillac,Escalade,2009,332,11.647,14.877
851,Ford,Escape Hybrid,2021,165,28.03,38.885
852,Volvo,S80,2010,235,7.12,11.977
853,Volvo,V50,2010,168,6.677,9.334
854,Volvo,C30,2011,227,8.487,14.478
855,Volvo,S80,2015,240,16.808,27.42
856,Chevrolet,Corvette,2017,455,51.232,80.09
857,Honda,CR-V,2020,190,28.781,37.206
858,BMW,5-Series,2010,230,8.642,11.026
859,Audi,A6,2016,240,24.578,40.326
860,GMC,Sierra 1500 Hybrid,2010,332,16.851,20.978
861,Acura,RLX,2019,310,40.936,43.865
862,Buick,Regal,2017,182,19.77,25.502
863,Cadillac,Escalade,2008,403,12.137,12.542
864,Volvo,S80,2015,240,16.808,27.42
865,Volvo,S80,2009,235,7.311,9.946
866,Volvo,V50,2009,168,6.531,7.726
867,Ford,Escape Hybrid,2020,163,31.601,35.655
868,Dodge,Durango,2013,290,15.785,22.469
869,Volvo,C30,2010,227,7.183,8.057
870,Volvo,S80,2014,240,14.931,18.694
871,Audi,A6,2015,220,20.552,35.007
872,BMW,5-Series,2009,230,8.883,10.047
873,Chevrolet,Corvette,2016,455,46.546,67.039
874,Acura,RLX,2018,310,34.522,38.238
875,Volvo,V50,2008,168,6.045,11.052
876,Honda,CR-V,2019,184,26.746,34.706
877,Buick,Regal,2016,182,17.132,22.69
878,Volvo,S80,2008,235,5.316,7.192
879,Cadillac,Escalade,2007,403,10.617,11.007
880,Volvo,S80,2014,240,14.931,18.694
881,Volvo,C30,2009,227,6.682,10.62
882,Dodge,Durango,2012,290,11.957,19.266
883,BMW,5-Series,2008,230,5.246,6.105
884,Ford,Escape Hybrid,2012,177,9.692,13.256
885,Volvo,S80,2013,240,12.14,15.232
886,Audi,A6,2014,220,17.308,31.704
887,Chevrolet,Corvette,2015,455,42.319,67.699
888,Volvo,V50,2007,168,4.695,9.257
889,Buick,Regal,2015,182,13.236,20.029
890,GMC,Sierra HD,2012,322,15.816,38.631
891,Acura,RLX,2017,310,28.986,39.067
892,Volvo,S80,2013,240,12.14,15.232
893,Cadillac,Escalade EXT,2013,403,29.938,31.023
894,Honda,CR-V,2018,184,25.517,32.244
895,Volvo,S80,2007,235,4.437,4.7
896,Volvo,V60,2021,250,40.95,67.3
897,Volvo,C30,2008,227,3.582,8.016
898,Chevrolet,Corvette,2014,455,36.666,41.776
899,Dodge,Durango,2011,290,11.133,15.151
900,Ford,Escape Hybrid,2011,177,7.714,8.478
901,BMW,5-Series Hybrid,2013,N/A,14.746,14.746
902,Audi,A6,2013,211,14.616,23.46
903,Cadillac,Escalade EXT,2012,403,22.209,35.373
904,Volvo,S80,2012,240,9.784,18.955
905,Volvo,S80,2012,240,9.784,18.955
906,Acura,RLX,2016,310,24.476,33.103
907,Buick,Regal,2014,182,13.487,17.575
908,GMC,Sierra HD,2011,322,12.261,36.729
909,Honda,CR-V,2017,184,23.557,30.269
910,Cadillac,Escalade EXT,2011,403,19.051,19.919
911,Chevrolet,Corvette,2013,430,27.536,71.925
912,BMW,5-Series Hybrid,2012,335,11.388,11.388
913,Volvo,V60,2020,250,40.331,64.247
914,Audi,A6,2012,211,12.141,14.901
915,Volvo,S80,2011,240,7.951,8.766
916,Ford,Escape Hybrid,2010,177,7.388,10.345
917,Acura,RLX,2015,310,22.202,30.857
918,Volvo,S80,2011,240,7.951,8.766
919,Dodge,Durango,2009,210,6.821,18.121
920,Buick,Regal,2013,182,10.761,13.125
921,GMC,Sierra HD,2010,312,10.812,28.475
922,BMW,5-Series Wagon,2010,300,11.262,11.262
923,Chevrolet,Corvette,2012,430,24.999,69.506
924,Volvo,V60,2019,250,35.812,45.395
925,Cadillac,Escalade EXT,2010,403,19.935,30.382
926,Audi,A6,2011,265,9.948,14.068
927,Volvo,S80,2010,235,7.12,11.977
928,Honda,CR-V,2016,185,19.911,25.894
929,Buick,Regal,2012,182,8.55,10.778
930,Acura,RLX,2014,310,18.694,20.895
931,Volvo,S80,2010,235,7.12,11.977
932,Ford,Escape Hybrid,2009,177,5.708,6.888
933,Dodge,Durango,2008,210,4.809,10.248
934,GMC,Sierra HD,2008,312,8.038,23.598
935,Chevrolet,Corvette,2011,430,21.432,28.697
936,Volvo,V60,2021,250,40.95,67.3
937,Volvo,V60,2018,240,27.467,47.054
938,Volvo,S90,2021,313,51.55,60.05
939,BMW,5-Series Wagon,2009,300,9.598,9.598
940,Audi,A6,2010,265,9.15,13.769
941,Volvo,S80,2009,235,7.311,9.946
942,Cadillac,Escalade EXT,2009,403,15.514,15.514
943,Honda,CR-V,2015,185,18.305,23.419
944,Acura,TL,2014,280,15.976,19.212
945,Ford,Escape Hybrid,2008,133,5.213,5.909
946,Buick,Regal,2011,182,6.724,8.329
947,BMW,5-Series Wagon,2008,300,6.657,6.657
948,Volvo,S80,2009,235,7.311,9.946
949,Dodge,Durango,2007,210,4.947,5.581
950,Volvo,V60,2017,240,21.256,40.741
951,Chevrolet,Corvette,2010,430,20.185,25.326
952,Volvo,S80,2008,235,5.316,7.192
953,Volvo,S90,2020,313,43.346,62.38
954,Audi,A6,2009,255,6.816,9.829
955,Volvo,V60,2020,250,40.331,64.247
956,Cadillac,Escalade EXT,2008,403,12.727,12.727
957,Honda,CR-V,2014,185,15.746,18.162
958,Volvo,S80,2008,235,5.316,7.192
959,Acura,TL,2013,280,13.698,18.03
960,Chevrolet,Corvette,2009,430,17.727,20.272
961,Volvo,C70,2013,227,16.427,21.555
962,Dodge,Grand Caravan,2020,283,28.547,32.395
963,Volvo,V60,2016,240,17.642,34.402
964,Volvo,S80,2007,235,4.437,4.7
965,Audi,A6,2008,255,6.66,17.052
966,Volvo,S90,2019,250,37.158,52.288
967,Cadillac,Escalade EXT,2007,403,11.966,11.966
968,Volvo,S80,2007,235,4.437,4.7
969,Volvo,V60,2019,250,35.812,45.395
970,Buick,Verano,2017,180,16.169,20.174
971,Volvo,C70,2012,227,12.77,13.741
972,Acura,TL,2012,280,12.608,15.065
973,Chevrolet,Corvette,2008,430,16.742,18.309
974,Honda,CR-V,2013,185,14.448,16.917
975,Dodge,Grand Caravan,2019,283,25.9,28.279
976,Volvo,V60,2015,240,17.156,27.586
977,BMW,6-Series,2019,315,51.486,89.065
978,Buick,Verano,2016,180,13.946,17.836
979,Audi,A6,2007,255,6.373,7.892
980,Cadillac,Escalade Hybrid,2012,332,20.559,48.915
981,Volvo,S90,2018,250,31.7,44.808
982,Volvo,V60,2018,240,27.467,47.054
983,Acura,TL,2011,280,10.653,14.202
984,Volvo,C70,2011,227,9.84,9.84
985,Chevrolet,Cruze,2019,137,17.659,23.144
986,Honda,CR-V,2012,185,12.645,14.967
987,GMC,Terrain,2021,170,25,37.5
988,Ford,Expedition,2021,375,49.625,77.425
989,Buick,Verano,2015,180,12.522,16.622
990,Cadillac,Escalade Hybrid,2011,332,17.874,54.046
991,Volvo,V60,2017,240,21.256,40.741
992,BMW,6-Series,2018,315,48.459,80.164
993,Dodge,Grand Caravan,2018,283,22.038,24.781
994,Volvo,S90,2017,250,27.562,32.672
995,Acura,TL,2010,280,9.289,12.17
996,Chevrolet,Cruze,2018,153,16.008,21.386
997,Volvo,C70,2010,227,8.922,9.894
998,Volvo,S90,2021,313,51.55,60.05
999,Cadillac,Escalade Hybrid,2010,332,15.326,33.046
1000,Honda,CR-V,2011,180,10.612,12.57
1001,Buick,Verano,2014,180,12.613,14.581
1002,BMW,6-Series,2017,315,44.426,77.737
1003,Volvo,V60,2016,240,17.642,34.402
1004,Ford,Expedition,2020,375,55.643,75.74
1005,Volvo,V70,2010,235,6.972,12.475
1006,GMC,Terrain,2020,137,26.68,38.962
1007,Acura,TL,2009,280,7.858,9.266
1008,Volvo,C70,2009,227,8.514,8.653
1009,Dodge,Grand Caravan,2017,283,19.26,23.065
1010,Volvo,S90,2020,313,43.346,62.38
1011,Chevrolet,Cruze,2017,137,14.134,19.265
1012,Cadillac,Escalade Hybrid,2009,332,13.867,14.351
1013,BMW,6-Series,2016,315,34.669,56.575
1014,Buick,Verano,2013,180,9.851,11.946
1015,Volvo,S90,2021,313,51.55,60.05
1016,Honda,CR-V,2010,180,9.163,10.786
1017,Volvo,V60,2015,240,17.156,27.586
1018,Acura,TL,2008,258,6.768,11.198
1019,Ford,Expedition,2019,375,50.915,70.214
1020,Volvo,V50,2011,227,7.933,13.439
1021,Volvo,V70,2008,235,6.03,6.03
1022,Volvo,C70,2008,227,6.196,7.086
1023,GMC,Terrain,2019,137,23.664,35.541
1024,Volvo,S90,2019,250,37.158,52.288
1025,Dodge,Grand Caravan,2016,283,16.568,19.813
1026,Chevrolet,Cruze,2016,138,11.621,17.063
1027,Volvo,S90,2020,313,43.346,62.38
1028,Buick,Verano,2012,180,8.522,9.552
1029,Honda,CR-V,2009,166,8.182,9.026
1030,BMW,6-Series,2015,315,27.313,45.957
1031,Ford,Expedition,2018,375,46.577,65.948
1032,Acura,TL,2007,258,5.99,9.192
1033,Volvo,V50,2010,168,6.677,9.334
1034,Audi,A6 Allroad,2021,335,65.9,65.9
1035,Volvo,S90,2018,250,31.7,44.808
1036,Chevrolet,Cruze,2015,138,10.448,14.191
1037,Dodge,Grand Caravan,2015,283,14.428,17.945
1038,GMC,Terrain,2018,137,22.763,34.219
1039,Volvo,C30,2013,227,11.945,16.953
1040,Volvo,S40,2011,227,7.053,12.446
1041,Volvo,V70,2010,235,6.972,12.475
1042,BMW,6-Series,2014,315,24.707,44.014
1043,Honda,CR-V,2008,166,8.16,9.479
1044,Volvo,V50,2009,168,6.531,7.726
1045,Volvo,S90,2019,250,37.158,52.288
1046,Volvo,S90,2017,250,27.562,32.672
1047,Ford,Expedition,2017,365,35.813,49.319
1048,Audi,A6 Allroad,2020,335,66.741,67.984
1049,Chevrolet,Cruze,2014,138,9.62,12.402
1050,Volvo,C30,2012,227,10.712,14.574
1051,GMC,Terrain,2017,182,19.113,28.2
1052,Volvo,V70,2008,235,6.03,6.03
1053,Volvo,S40,2010,168,5.831,10.031
1054,Dodge,Grand Caravan,2014,283,11.879,14.164
1055,Volvo,V50,2008,168,6.045,11.052
1056,BMW,6-Series,2013,315,20.292,31.82
1057,Volvo,S90,2018,250,31.7,44.808
1058,Volvo,V90,2021,250,51.8,57.8
1059,Audi,A6 Wagon,2011,300,14.077,14.62
1060,Ford,Expedition,2016,365,29.394,40.85
1061,Honda,CR-V,2007,166,6.874,7.688
1062,Volvo,C30,2011,227,8.487,14.478
1063,Cadillac,SRX,2016,308,21.403,27.593
1064,Chevrolet,Cruze,2013,138,7.966,9.527
1065,Volvo,S40,2009,168,5.974,7.021
1066,GMC,Terrain,2016,182,16.807,23.522
1067,Volvo,V50,2007,168,4.695,9.257
1068,Volvo,S90,2017,250,27.562,32.672
1069,BMW,6-Series,2012,315,18.361,31.012
1070,Audi,A6 Wagon,2010,300,11.057,15.714
1071,Volvo,V90,2020,250,53.385,57.836
1072,Volvo,C30,2010,227,7.183,8.057
1073,Dodge,Grand Caravan,2013,283,9.895,12.699
1074,Volvo,V50,2011,227,7.933,13.439
1075,Acura,TLX,2021,272,37.5,48.3
1076,Ford,Expedition,2015,365,25.73,36.405
1077,Cadillac,SRX,2015,308,17.781,22.586
1078,Volvo,S40,2008,168,4.29,8.736
1079,Chevrolet,Cruze,2012,138,6.417,8.195
1080,BMW,6-Series,2010,360,10.684,12.499
1081,GMC,Terrain,2015,182,16.102,21.376
1082,Audi,A6 Wagon,2009,300,9.063,13.249
1083,Volvo,V90,2019,250,45.275,51.926
1084,Volvo,C30,2009,227,6.682,10.62
1085,Dodge,Grand Caravan,2012,283,8.22,10.003
1086,Volvo,V50,2010,168,6.677,9.334
1087,Volvo,S40,2007,168,4.533,7.939
1088,Acura,TLX,2020,206,30.797,41.757
1089,Ford,Expedition,2014,310,20.288,26.29
1090,Cadillac,SRX,2014,308,15.949,19.693
1091,Chevrolet,Cruze,2011,136,6.45,7.242
1092,Volvo,V90,2021,250,51.8,57.8
1093,Audi,A6 Wagon,2008,255,13.41,13.41
1094,GMC,Terrain,2014,182,13.997,18.313
1095,Acura,TLX,2019,206,28.236,37.727
1096,Volvo,V90,2018,250,37.721,49.421
1097,Volvo,V50,2009,168,6.531,7.726
1098,Volvo,C30,2008,227,3.582,8.016
1099,Dodge,Grand Caravan,2011,283,6.54,9.511
1100,Volvo,V50,2011,227,7.933,13.439
1101,Ford,Expedition,2013,310,17.963,22.817
1102,Volvo,V90,2020,250,53.385,57.836
1103,Cadillac,SRX,2013,308,13.89,16.617
1104,BMW,6-Series,2008,360,9.125,9.679
1105,Honda,CR-V Hybrid,2021,143,34.951,39.676
1106,Volvo,V50,2008,168,6.045,11.052
1107,Volvo,V60,2021,250,40.95,67.3
1108,Acura,TLX,2018,206,25.494,33.619
1109,Volvo,V50,2010,168,6.677,9.334
1110,GMC,Terrain,2013,182,11.581,15.088
1111,Cadillac,SRX,2012,308,9.941,12.135
1112,Ford,Expedition,2012,310,14.088,18.596
1113,Volvo,V90,2019,250,45.275,51.926
1114,Dodge,Grand Caravan,2010,175,6.531,6.742
1115,Volvo,V50,2007,168,4.695,9.257
1116,Honda,CR-V Hybrid,2020,143,30.801,39.168
1117,Volvo,V50,2009,168,6.531,7.726
1118,Acura,TLX,2017,206,22.958,27.942
1119,GMC,Terrain,2012,182,9.888,11.366
1120,Volvo,V60,2020,250,40.331,64.247
1121,Ford,Expedition,2011,310,10.497,14.658
1122,Cadillac,SRX,2011,265,8.976,11.888
1123,Audi,A7,2021,252,69.2,84.4
1124,Volvo,V90,2018,250,37.721,49.421
1125,Dodge,Grand Caravan,2009,175,4.547,5.613
1126,Volvo,S60,2021,250,38.95,64.8
1127,Acura,TLX,2016,206,21.366,25.434
1128,GMC,Terrain,2011,182,8.472,9.796
1129,Volvo,V50,2008,168,6.045,11.052
1130,Volvo,V60,2019,250,35.812,45.395
1131,Ford,Expedition,2010,310,10.203,13.992
1132,Volvo,XC40,2021,187,33.7,53.99
1133,Cadillac,SRX,2010,265,7.765,8.891
1134,Honda,CR-V Hybrid,2024,204,33.35,39.5
1135,Audi,A7,2020,335,64.132,88.006
1136,Dodge,Grand Caravan,2008,175,4.408,5.826
1137,Volvo,V50,2007,168,4.695,9.257
1138,GMC,Terrain,2010,182,7.652,8.832
1139,Chevrolet,Equinox,2021,170,23.8,33.1
